csns01,IN,A,10.1.0.1
csns02,IN,A,10.1.0.2
IP-0-3,IN,A,10.1.0.3
IP-0-4,IN,A,10.1.0.4
IP-0-5,IN,A,10.1.0.5
csduty01,IN,A,10.1.0.6
IP-0-7,IN,A,10.1.0.7
IP-0-8,IN,A,10.1.0.8
IP-0-9,IN,A,10.1.0.9
IP-0-10,IN,A,10.1.0.10
linux01,IN,A,10.1.0.11
linux02,IN,A,10.1.0.12
linux03,IN,A,10.1.0.13
linux04,IN,A,10.1.0.14
IP-0-15,IN,A,10.1.0.15
IP-0-16,IN,A,10.1.0.16
IP-0-17,IN,A,10.1.0.17
IP-0-18,IN,A,10.1.0.18
IP-0-19,IN,A,10.1.0.19
IP-0-20,IN,A,10.1.0.20
IP-0-21,IN,A,10.1.0.21
IP-0-22,IN,A,10.1.0.22
IP-0-23,IN,A,10.1.0.23
IP-0-24,IN,A,10.1.0.24
IP-0-25,IN,A,10.1.0.25
IP-0-26,IN,A,10.1.0.26
linux07,IN,A,10.1.0.27
linux08,IN,A,10.1.0.28
IP-0-29,IN,A,10.1.0.29
IP-0-30,IN,A,10.1.0.30
bsd01,IN,A,10.1.0.31
bsd02,IN,A,10.1.0.32
bsd03,IN,A,10.1.0.33
bsd04,IN,A,10.1.0.34
IP-0-35,IN,A,10.1.0.35
IP-0-36,IN,A,10.1.0.36
IP-0-37,IN,A,10.1.0.37
IP-0-38,IN,A,10.1.0.38
IP-0-39,IN,A,10.1.0.39
alumni,IN,A,10.1.0.40
bsd07,IN,A,10.1.0.41
bsd08,IN,A,10.1.0.42
IP-0-43,IN,A,10.1.0.43
IP-0-44,IN,A,10.1.0.44
IP-0-45,IN,A,10.1.0.45
IP-0-46,IN,A,10.1.0.46
IP-0-47,IN,A,10.1.0.47
IP-0-48,IN,A,10.1.0.48
IP-0-49,IN,A,10.1.0.49
IP-0-50,IN,A,10.1.0.50
IP-0-51,IN,A,10.1.0.51
IP-0-52,IN,A,10.1.0.52
IP-0-53,IN,A,10.1.0.53
IP-0-54,IN,A,10.1.0.54
IP-0-55,IN,A,10.1.0.55
IP-0-56,IN,A,10.1.0.56
IP-0-57,IN,A,10.1.0.57
IP-0-58,IN,A,10.1.0.58
IP-0-59,IN,A,10.1.0.59
IP-0-60,IN,A,10.1.0.60
ntserv2,IN,cname,ntserv
ntserv,IN,A,10.1.0.61
IP-0-62,IN,A,10.1.0.62
IP-0-63,IN,A,10.1.0.63
IP-0-64,IN,A,10.1.0.64
IP-0-65,IN,A,10.1.0.65
IP-0-66,IN,A,10.1.0.66
IP-0-67,IN,A,10.1.0.67
IP-0-68,IN,A,10.1.0.68
IP-0-69,IN,A,10.1.0.69
IP-0-70,IN,A,10.1.0.70
files01,IN,A,10.1.0.71
IP-0-72,IN,A,10.1.0.72
IP-0-73,IN,A,10.1.0.73
IP-0-74,IN,A,10.1.0.74
IP-0-75,IN,A,10.1.0.75
IP-0-76,IN,A,10.1.0.76
